LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=1320557&DL=4524\,MINI COOPER 5DR FWD LED ABS,62500,19190,30-Jun-2017,90000,2017,684,Auto,26047,15/09/2024,25768,18076,54556,792,1499,1175,2,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1322859&DL=1032\,HONDA JAZZ 1.3 CVT,81800,13000,30-Sep-2020,27696,2020,578,Auto,27951,15/09/2024,16571,6571,38110,2196,1318,1052,1,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1298506&DL=1032\,SUBARU IMPREZA 4D 1.6I-S AWD CVT,45800,13000,18-Sep-2017,82240,2017,744,Auto,19586,15/09/2024,13486,13486,36001,1098,1600,1449,1,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1319257&DL=4031\,MITSUBISHI ECLIPSE CROSS 1.5 CVT,87088,15980,16-May-2019,79000,2018,684,Auto,39950,15/09/2024,23627,25078,48000,1580,1499,1490,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1334880&DL=2051\,VOLKSWAGEN GOLF GTI 2.0 TSI FL,168000,21470,18-Jun-2021,22000,2021,1194,Auto,75001,15/09/2024,38467,45854,60109,2376,1984,1463,2,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1328783&DL=1213\,B.M.W. X1 SDRIVE 18I LED HL XLINE,,,07-May-2021,,2021,684,Auto,,15/09/2024,39341,47078,60001,2376,1499,1435,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1107163&DL=2356\,TOYOTA LEXUS RC350 F SPORT COUPE,194000,19390,30-Jan-2015,32300,2014,3100,Auto,,15/09/2024,68510,95318,,365,3456,1680,4,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1332367&DL=4166\,HONDA CIVIC 1.8L A,19800,11600,22-Jun-2006,178000,2006,1467,Auto,7860,15/09/2024,21537,23691,46048,396,1799,1219,3,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1285959&DL=3730\,B.M.W. Z4 SDRIVE 23I 2.5L AT ABS D/AB 2WD HID,83800,13330,28-Dec-2010,147600,2010,2514,Auto,25588,15/09/2024,42262,42262,40714,2376,2497,1430,4,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1314130&DL=2578\,NISSAN SERENA 1.2L HIGHWAY STAR PREMIUM E-POWER,164800,20080,31-May-2022,40000,MPV,802,2021,88822,15/09/2024,,,95801,2772,1198,1758,1,,Petrol-Electric
