LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=1299477&DL=2976\,VOLKSWAGEN GOLF 1.4 TSI AT 5G13HZ,43800,14260,30-May-2017,93000,2016,624,Auto,20149,15/09/2024,20408,10572,51106,792,1395,1249,2,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1318669&DL=3047\,TOYOTA WISH 1.8 CVT,51800,15340,08-Jun-2017,80000,2017,976,Auto,27079,15/09/2024,19955,19955,55414,792,1798,1355,1,MPV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1312907&DL=4074\,AUDI Q2 1.0 TFSI S TRONIC,83000,15630,19-Mar-2019,81000,2018,392,Auto,29463,15/09/2024,23680,25152,26309,1584,999,1315,3,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1293793&DL=4547\,MERCEDES BENZ C 63 AMG,225888,27870,22-Oct-2012,89760,2012,8885,Auto,87714,15/09/2024,97182,97182,109643,3168,6208,1730,6,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1305849&DL=3800\,PORSCHE 911 SC COUPE,288000,37720,21-Apr-2022,44000,1981,280,Manual,13508,15/09/2024,30311,34436,8887,2772,2994,1160,2,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1332193&DL=1000\,,59888,13180,25-Jun-1991,,1991,,Auto,11595,15/09/2024,42296,54942,25525,1584,1588,,,Sports Car,
https://www.sgcarmart.com/used_cars/info.php?ID=1317361&DL=1195\,HONDA VEZEL 1.5X,46000,14270,07-Jul-2017,93155,2017,682,Auto,19849,15/09/2024,21390,11946,45201,792,1496,1190,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1332360&DL=4239\,KIA CARENS 1.7 DCT DIESEL 5DR FWD,56800,12760,23-May-2018,,MPV,1318,2018,26465,15/09/2024,,,37330,1188,1685,1525,1,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=1275894&DL=1193\,CITROEN C3 AIRCROSS FEEL 1.2 PURETECH 110 EAT6,68800,12920,29-May-2019,31000,2018,508,Auto,23980,15/09/2024,16124,16124,27000,1584,1199,1203,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1238559&DL=3093\,PORSCHE 911 CARRERA S PDK COUP E5 W/SES,363800,42570,17-Apr-2013,106000,2012,4366,Auto,85533,15/09/2024,139228,139228,106916,3168,3800,1490,4,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1332617&DL=2633\,HYUNDAI LF SONATA 2.0 GLS A/T S/R,27600,12140,27-Nov-2015,,2015,1212,Auto,21687,15/09/2024,24378,26130,61103,396,1999,1460,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1327035&DL=2133\,KIA FORTE K3 1.6A EX,20800,10930,09-Dec-2015,107000,2015,738,Auto,14980,15/09/2024,14712,14712,56001,396,1591,1295,4,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1312959&DL=2578\,NISSAN SERENA 1.2L HIGHWAY STAR PREMIUM E-POWER,121800,19990,13-Mar-2020,50000,MPV,802,2019,38862,15/09/2024,,,38889,1980,1198,1758,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1334993&DL=3283\,HYUNDAI ELANTRA AD 1.6 GLS AT (AMS),50800,12640,30-Apr-2018,142000,2018,738,Auto,20484,15/09/2024,10055,10055,38510,1188,1591,1345,1,Mid-Sized Sedan,Petrol
