,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
3307,https://www.sgcarmart.com/used_cars/info.php?ID=1294011&DL=3794\,TOYOTA CAMRY 2.0 AUTO ABS AIRBAG,41888.0,10210.0,23-Oct-2008,150243.0,2008,1815.0,Auto,13248.0,15/09/2024,25403.0,25403.0,32279.0,1584.0,1998.0,1530.0,4.0,Luxury Sedan,Petrol
3308,https://www.sgcarmart.com/used_cars/info.php?ID=1264789&DL=3382\,NISSAN SKYLINE 250GT A,61998.0,17130.0,29-Apr-2008,151868.0,2008,2691.0,Auto,14796.0,15/09/2024,28251.0,28251.0,40881.0,1188.0,2495.0,1560.0,5.0,Luxury Sedan,Petrol
3309,https://www.sgcarmart.com/used_cars/info.php?ID=1274693&DL=2578\,B.M.W. 116D 5DR HATCHBACK DSC LED,33800.0,15240.0,01-Aug-2016,105000.0,Hatchback,1082.0,2016,15688.0,15/09/2024,,,53000.0,396.0,1496.0,1350.0,3.0,,Diesel
3310,https://www.sgcarmart.com/used_cars/info.php?ID=1333315&DL=3851\,MERCEDES BENZ CLA180 (R18 BI),75800.0,15150.0,20-Aug-2015,120000.0,2015,740.0,Auto,,15/09/2024,28034.0,26248.0,,1825.0,1595.0,1430.0,2.0,Luxury Sedan,Petrol
3311,https://www.sgcarmart.com/used_cars/info.php?ID=1332458&DL=4558\,TOYOTA WISH 1.8 CVT,52800.0,14240.0,19-Sep-2017,110000.0,2017,976.0,Auto,28313.0,15/09/2024,19955.0,19955.0,51000.0,1098.0,1798.0,1355.0,2.0,MPV,Petrol
3312,https://www.sgcarmart.com/used_cars/info.php?ID=1329873&DL=1340\,TOYOTA HARRIER G GRADE,94800.0,19480.0,31-Jul-2018,96660.0,2018,1210.0,Auto,37721.0,15/09/2024,33308.0,38632.0,32551.0,1188.0,1998.0,1695.0,1.0,SUV,Petrol
3313,https://www.sgcarmart.com/used_cars/info.php?ID=1325429&DL=4688\,KIA CERATO 1.6(A) EX,60000.0,12990.0,18-Oct-2018,100000.0,2018,738.0,Auto,19575.0,15/09/2024,13768.0,13768.0,24294.0,1584.0,1591.0,1287.0,2.0,Mid-Sized Sedan,Petrol
3314,https://www.sgcarmart.com/used_cars/info.php?ID=1309150&DL=1000\,,156800.0,20890.0,15-Jun-2021,49000.0,SUV,684.0,2021,62927.0,15/09/2024,,,62000.0,2376.0,1498.0,1708.0,2.0,,
3315,https://www.sgcarmart.com/used_cars/info.php?ID=1322798&DL=3750\,B.M.W. 525I XL,42800.0,9250.0,25-Jun-2009,153000.0,2009,2694.0,Auto,16376.0,15/09/2024,52627.0,52627.0,35411.0,1584.0,2497.0,1605.0,5.0,Luxury Sedan,Petrol
3316,https://www.sgcarmart.com/used_cars/info.php?ID=1330419&DL=3283\,HONDA VEZEL HYBRID 1.5 AUTO,102800.0,14800.0,10-Mar-2021,81000.0,SUV,682.0,2018,41112.0,15/09/2024,,,47506.0,2376.0,1496.0,1280.0,2.0,,Petrol-Electric
3317,https://www.sgcarmart.com/used_cars/info.php?ID=1328616&DL=3570\,AUDI Q5 2.0 TFSI QU S TRONIC,202888.0,22980.0,23-Jun-2022,28000.0,SUV,1194.0,2021,118746.0,15/09/2024,,,106001.0,2772.0,1984.0,1825.0,1.0,,Petrol-Electric
3318,https://www.sgcarmart.com/used_cars/info.php?ID=1273879&DL=4331\,TOYOTA LEXUS RC200T COUPE,110800.0,24040.0,29-Dec-2017,50000.0,2017,1210.0,Auto,57465.0,15/09/2024,50913.0,63644.0,49000.0,1188.0,1998.0,1675.0,3.0,Sports Car,Petrol
3319,https://www.sgcarmart.com/used_cars/info.php?ID=1319290&DL=3750\,MERCEDES BENZ C 180 CGI,62800.0,10530.0,27-Sep-2010,142000.0,2010,1364.0,Auto,19622.0,15/09/2024,38917.0,38917.0,32914.0,1980.0,1796.0,1495.0,4.0,Luxury Sedan,Petrol
3320,https://www.sgcarmart.com/used_cars/info.php?ID=1311110&DL=3283\,B.M.W. X3 SDRIVE20I,113000.0,23780.0,28-May-2018,80000.0,2018,1210.0,Auto,46790.0,15/09/2024,41483.0,50077.0,38501.0,1188.0,1998.0,1660.0,3.0,SUV,Petrol
