LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=1311912&DL=2792\,B.M.W. 116I LED HL FL MSPT,149800,15850,09-Dec-2022,21567,2022,684,Auto,99746,15/09/2024,33280,38592,88503,3168,1499,1340,1,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1314259&DL=3382\,M.G. HS 1.5T AT,105998,15760,28-Oct-2020,45447,2020,680,Auto,39395,15/09/2024,19121,19121,41001,2376,1490,1563,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1277955&DL=1034\,SUZUKI SWIFT SPORT 1.4 6MT,112800,15340,23-Nov-2021,33897,Hatchback,610,2021,37546,15/09/2024,,,47010,2772,1373,1020,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1291276&DL=2356\,MERCEDES BENZ C200 AMG LINE MILD HYBRID,226800,23840,30-Nov-2022,16000,Luxury,682,2021,132002,15/09/2024,,,112001,3168,1496,1650,2,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1318887&DL=4337\,B.M.W. 428I COUPE M SPORT A/T SR HID NAV HUD,138800,14290,10-Jun-2014,115000,2014,1331,Auto,79293,15/09/2024,52718,61893,99116,3564,1997,1470,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1324342&DL=3865\,MINI COOPER S CLUBMAN AT LED NAV,63800,18690,07-Feb-2017,66000,2016,1210,Auto,35566,15/09/2024,32916,38083,53106,792,1998,1390,3,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1335927&DL=1104\,HONDA VEZEL 1.5X CVT ABS D/AIRBAG 2WD 5DR,25800,12430,24-May-2016,118155,2016,682,Auto,13004,15/09/2024,19704,9704,45504,396,1496,1190,4,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333957&DL=3597\,MAZDA CX-5 2.0 AT PREMIUM 2WD,87000,16850,17-Dec-2018,105428,2018,1210,Auto,35292,15/09/2024,27593,30631,32552,1584,1998,1572,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1318563&DL=4555\,VOLVO S90 T5 MOMENTUM,106999,19410,31-Dec-2018,93000,2018,1176,Auto,46340,15/09/2024,39504,47306,30851,1584,1969,1695,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1335718&DL=3597\,MAZDA MAZDA6 SEDAN 2.0 AT STANDARD EU6,66000,15380,30-May-2018,79939,2018,1210,Auto,26092,15/09/2024,18030,18030,38801,1188,1998,1472,3,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1336164&DL=2792\,B.M.W. X3 SDRIVE20I,132800,22640,29-May-2019,69872,2019,1210,Auto,59459,15/09/2024,43359,52703,48000,1584,1998,1660,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1312358&DL=4055\,HONDA SHUTTLE 1.5G A,28000,14890,28-Apr-2016,,2016,682,Auto,11315,15/09/2024,17957,7957,43000,396,1496,1130,1,Stationwagon,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1182546&DL=3769\,CITROEN C3 AIRCROSS SHINE 1.2 PURETECH 110 EAT6,51800,11220,26-Jun-2018,76000,2018,508,Auto,26016,15/09/2024,18852,18852,36426,1188,1199,1203,2,SUV,Petrol
