LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=1333659&DL=3597\,MAZDA MAZDA3 4DR 1.5 AT M-HYBRID ELEGANCE,100000,15500,18-Aug-2020,62943,Mid-Sized,682,2019,31853,15/09/2024,,,33000,1980,1496,1397,2,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1316277&DL=1368\,TOYOTA VELLFIRE ELEGANCE MOONROOF (AUTO),142000,26150,31-Dec-2018,67253,2018,1792,Auto,54935,15/09/2024,48189,59465,31001,1584,2494,2045,2,MPV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1285891&DL=1000\,,49000,28670,13-Oct-2015,145000,2015,740,Auto,26555,15/09/2024,35294,36412,60789,366,1595,1425,3,Luxury Sedan,
https://www.sgcarmart.com/used_cars/info.php?ID=1234459&DL=1385\,BENTLEY CONTINENTAL GT V8,999888,96260,26-Oct-2022,12000,2022,3944,Auto,416077,15/09/2024,226107,437436,110000,3168,3996,2165,1,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1328969&DL=1000\,,149800,25130,24-Sep-2010,215800,2010,5527,Auto,19622,15/09/2024,82960,82960,32914,1980,3999,1675,,Sports Car,
https://www.sgcarmart.com/used_cars/info.php?ID=1335154&DL=3286\,HONDA ODYSSEY 2.4 EXV-S CVT SR,29300,16920,29-Jul-2015,113000,2015,1630,Auto,20324,15/09/2024,26647,29306,65501,31,2356,1855,2,MPV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1270918&DL=8008\,MITSUBISHI OUTLANDER 2.0 CVT SUNROOF,78888,17350,03-Aug-2018,86000,2018,1210,Auto,29731,15/09/2024,22179,23051,37989,1188,1998,1480,3,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333270&DL=3137\,MASERATI LEVANTE DIESEL,141800,27330,17-Jan-2017,62000,SUV,3366,2016,106344,15/09/2024,,,54901,792,2987,2205,3,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=1326946&DL=1164\,HONDA VEZEL 1.5X CVT,74500,14000,21-Jun-2019,46021,2019,682,Auto,25197,15/09/2024,23979,15571,30009,1584,1496,1190,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333882&DL=1172\,B.M.W. 530I LED NAV,89800,23790,23-Mar-2017,110000,2017,1210,Auto,49379,15/09/2024,48540,59956,53300,792,1998,1540,2,Luxury Sedan,Petrol
