Unnamed: 0,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,CAR_AGE,REG_MONTH
3335,https://www.sgcarmart.com/used_cars/info.php?ID=1191395&DL=1238&utm_content=SLeligible,Aston Martin V8 Vantage Roadster 4.3A,134800.0,22490.0,9-May-11,96000.0,2008,6149.0,Auto,19730.0,3/9/2024,69946.0,69946.0,32914.0,1863,4282.0,1710.0,5,Sports Car,13,5
3336,https://www.sgcarmart.com/used_cars/info.php?ID=1311501&DL=2298&utm_content=SLeligible,Volvo S90 T5 Momentum,142800.0,21600.0,20-Mar-20,91000.0,2019,1176.0,Auto,52795.0,3/9/2024,38681.0,46154.0,32801.0,2011,1969.0,1695.0,1,Luxury Sedan,4,3
3338,https://www.sgcarmart.com/used_cars/info.php?ID=1317231&DL=3210&utm_content=SLeligible,BMW 5 Series 530i Luxury,131800.0,22020.0,31-Dec-18,111000.0,2018,1210.0,Auto,64490.0,3/9/2024,56161.0,73090.0,30851.0,1557,1998.0,1540.0,1,Luxury Sedan,6,12
3339,https://www.sgcarmart.com/used_cars/info.php?ID=1260878&DL=3648&utm_content=SLeligible,Mazda 2 HB 1.5A Deluxe,80777.0,11640.0,28-Oct-20,59000.0,2019,682.0,Auto,36285.0,3/9/2024,18419.0,18419.0,36534.0,2224,1496.0,1067.0,2,Hatchback,4,10
3341,https://www.sgcarmart.com/used_cars/info.php?ID=1307921&DL=3106&utm_content=SLeligible,Volkswagen Sharan 2.0A TSI Panoramic Roof,58800.0,17320.0,30-Nov-16,121068.0,2016,1194.0,Auto,36668.0,3/9/2024,34335.0,40069.0,56410.0,796,1984.0,1790.0,1,MPV,8,11
3342,https://www.sgcarmart.com/used_cars/info.php?ID=1328760&DL=4700,Hyundai Avante 1.6A S,115888.0,14500.0,29-Jun-22,28000.0,2021,742.0,Auto,62406.0,3/9/2024,19264.0,5000.0,74989.0,2830,1598.0,1280.0,1,Mid-Sized Sedan,2,6
3343,https://www.sgcarmart.com/used_cars/info.php?ID=1314341&DL=2817&utm_content=SLeligible,BMW X3 sDrive20i,132800.0,22960.0,29-May-19,85900.0,2019,1210.0,Auto,58620.0,3/9/2024,40167.0,48234.0,52502.0,1705,1998.0,1660.0,2,SUV,5,5
3344,https://www.sgcarmart.com/used_cars/info.php?ID=1291140&DL=1277&utm_content=SLeligible,Subaru Forester 2.0i-L Sunroof,42888.0,14570.0,31-Jan-17,71000.0,2016,1208.0,Auto,22142.0,3/9/2024,15589.0,15589.0,53106.0,857,1995.0,1566.0,2,SUV,7,1
3345,https://www.sgcarmart.com/used_cars/info.php?ID=1205375&DL=1177&utm_content=SLeligible,Bentley Continental GT 4.0A V8 S,1330.0,115130.0,31-May-23,110.0,2022,3944.0,Auto,561896.0,3/9/2024,321340.0,646948.0,95856.0,3167,3996.0,2165.0,1,Sports Car,1,5
3346,https://www.sgcarmart.com/used_cars/info.php?ID=1327510&DL=1269,Aston Martin V8 Vantage Coupe 4.0A,569888.0,59660.0,28-Sep-21,17000.0,2021,3922.0,Auto,261934.0,3/9/2024,180207.0,296373.0,56100.0,2559,3982.0,1695.0,3,Sports Car,3,9
3348,https://www.sgcarmart.com/used_cars/info.php?ID=1328734&DL=3759,Audi A3 Sedan 1.0A TFSI S-tronic,70800.0,15180.0,18-Jun-18,71000.0,2018,392.0,Auto,31686.0,3/9/2024,24711.0,26596.0,38001.0,1369,999.0,1280.0,2,Luxury Sedan,6,6
3349,https://www.sgcarmart.com/used_cars/info.php?ID=1285959&DL=3730&utm_content=SLeligible,BMW Z4 sDrive23i,83800.0,13260.0,28-Dec-10,147600.0,2010,2514.0,Auto,25722.0,3/9/2024,42262.0,42262.0,40714.0,2284,2497.0,1430.0,4,Sports Car,14,12
