LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=1333380&DL=4313\,HONDA CITY 1.5 SV CVT,39900,13600,06-Mar-2017,135800,2016,684,Auto,19793,15/09/2024,17652,12652,49430,792,1497,1096,2,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1323176&DL=2389\,B.M.W. 116I LED HL LUXURY,124800,15810,28-May-2021,59000,2020,684,Auto,56341,15/09/2024,32705,37787,41801,2376,1499,1340,2,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1326071&DL=4733\,TOYOTA HARRIER 2.0 ELEGANCE G'S AT ABS 2WD 5DR,56800,17770,27-Sep-2016,84285,2016,1196,Auto,36438,15/09/2024,35316,41443,57002,732,1986,1610,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1336145&DL=3758\,MERCEDES BENZ CLA180 COUPE URBAN (R18 LED),,,18-Jul-2017,,2016,740,Auto,,15/09/2024,28976,27567,46489,792,1595,1430,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1334344&DL=3175\,PORSCHE CAYMAN S PDK 3.4L SMT ABS D/AB 2WD HID,143000,27880,30-Jun-2010,99000,2010,4602,Auto,19234,15/09/2024,84686,84686,37502,1980,3436,1450,4,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333892&DL=3209\,MERCEDES BENZ C180 AVANTGARDE (R17 LED),129988,12990,10-Oct-2014,137259,2014,740,Auto,,15/09/2024,32861,28006,,365,1595,1425,3,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1313252&DL=1368\,TOYOTA CAMRY 2.5 AUTO,85500,17280,06-Sep-2018,87335,2018,1792,Auto,34789,15/09/2024,29723,33613,32551,1188,2494,1475,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1315730&DL=4412\,HONDA CROSSROAD 1.8 A,47800,11650,23-Oct-2008,186553,2007,1467,Auto,13248,15/09/2024,16902,16902,32279,1584,1799,1410,6,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1332981&DL=1127\,MERCEDES BENZ GLC300 AMG LINE M-HYBRID,276800,29240,30-Dec-2022,18900,SUV,1202,2021,128130,15/09/2024,,,95856,3168,1991,1825,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1333173&DL=2239\,NISSAN PULSAR 1.2L DIG-T,39500,11890,18-Sep-2017,95000,2017,508,Auto,15716,15/09/2024,17532,7532,36001,1098,1197,1265,1,Hatchback,Petrol
