LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=1308619&DL=2469\,TOYOTA MARK X 2.5 A,44800,10560,12-Dec-2008,,2007,2697,Auto,13382,15/09/2024,30672,30672,31553,1584,2499,1510,5,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1283087&DL=1103\,VOLKSWAGEN GOLF A7 1.4 TSI AT 5G13GZ W/O HID,62500,12490,18-Jul-2014,,2014,686,Auto,,15/09/2024,19229,5000,,1825,1395,1249,3,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1317735&DL=4508\,B.M.W. X1 SDRIVE18I M SPORT AT LED NAV,51800,16920,31-Oct-2016,131700,2016,684,Auto,30776,15/09/2024,31970,31758,55201,792,1499,1430,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1276982&DL=4523\,MASERATI GRANTURISMO CAMBIOCORSA,121800,19350,23-Jun-2011,91888,2011,7042,Auto,25633,15/09/2024,109988,109988,40714,2376,4691,1880,,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1287184&DL=3863\,Toyota Alphard Hybrid 2.5A Z,368800,35140,03-Apr-2024,21,MPV,,2024,126649,15/09/2024,,,96010,3564,2487,2180,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1309040&DL=3106\,HONDA FREED HYBRID 1.5G AUTO,57800,16990,18-Dec-2017,86596,MPV,682,2017,19523,15/09/2024,,,49996,1188,1496,1430,2,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1335044&DL=3951\,MAZDA MAZDA3 4-DOOR SEDAN 1.5L SP.6EAT,28900,10230,20-Dec-2016,70000,2016,682,Auto,18570,15/09/2024,16547,11547,51507,792,1496,1310,3,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1334309&DL=2349\,HONDA VEZEL HYBRID 1.5X AUTO,80800,13110,14-Feb-2020,,SUV,682,2018,34152,15/09/2024,,,36001,1980,1496,1280,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1332542&DL=4645\,AUDI Q3 1.4 TFSI S TRONIC (17,149800,19330,30-Aug-2021,65000,2021,624,Auto,65402,15/09/2024,27589,30625,61001,2376,1395,1545,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1321233&DL=2626\,HONDA HRV 1.5 DX CVT,62800,14850,17-Apr-2018,112000,2018,682,Auto,26338,15/09/2024,19096,19096,38830,1188,1496,1185,1,SUV,Petrol
