,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
4933,https://www.sgcarmart.com/used_cars/info.php?ID=1310865&DL=3730&utm_content=SLeligible,Toyota Vios 1.5A E,71000,12440,29-Oct-19,53000,2019,682,Auto,26990,3/9/2024,13787,13787,32309,1860,1496,1085,2,Mid-Sized Sedan
4934,https://www.sgcarmart.com/used_cars/info.php?ID=1323184&DL=3946&utm_content=SLeligible,Toyota Corolla Altis 1.6A Elegance,77800,13980,6-Jun-19,65000,2018,742,Auto,28663,3/9/2024,21858,22602,27000,1732,1598,1230,3,Mid-Sized Sedan
4935,https://www.sgcarmart.com/used_cars/info.php?ID=1262335&DL=3518&utm_content=SLeligible,Honda CR-V Hybrid 2.0A,192800,18730,29-Dec-23,100,SUV,1204,2021,109570,3/9/2024,,,118388,3380,1993,1610,1,
4936,https://www.sgcarmart.com/used_cars/info.php?ID=1249065&DL=2404&utm_content=SLeligible,BMW 2 Series 216i Gran Coupe Sport,146800,16940,18-Aug-22,24000,2022,684,Auto,87961,3/9/2024,33582,24015,87889,2589,1499,1375,1,Luxury Sedan
4937,https://www.sgcarmart.com/used_cars/info.php?ID=1320190&DL=2650&utm_content=SLeligible,Honda Shuttle Hybrid 1.5A,77800,14200,18-Sep-19,86000,Stationwagon,682,2019,30815,3/9/2024,,,42564,1829,1496,1190,1,
4938,https://www.sgcarmart.com/used_cars/info.php?ID=1332439&DL=1418,Mitsubishi Outlander 2.4A Sunroof,27800,17270,28-Sep-15,120000,2015,1636,Auto,16816,3/9/2024,18795,18795,60789,369,2360,1530,1,SUV
4939,https://www.sgcarmart.com/used_cars/info.php?ID=1329963&DL=3969,Honda Jazz 1.5A,33800,14600,1-Aug-16,117000,2016,684,Auto,15531,3/9/2024,16937,11937,47020,373,1498,1046,1,Hatchback
4940,https://www.sgcarmart.com/used_cars/info.php?ID=1331906&DL=3137,Mercedes-Benz GLA-Class GLA180 Urban Edition,118000,17570,13-Aug-20,,2019,740,Auto,40039,3/9/2024,25170,27238,33000,1864,1595,1435,2,SUV
4941,https://www.sgcarmart.com/used_cars/info.php?ID=1315184&DL=2976&utm_content=SLeligible,BMW 5 Series 540i xDrive M-Sport,167800,34340,8-Dec-17,89230,2017,2384,Auto,88877,3/9/2024,77587,111657,49996,1189,2998,1735,3,Luxury Sedan
4942,https://www.sgcarmart.com/used_cars/info.php?ID=1284173&DL=3811,Toyota Previa 2.4A,36888,18530,25-Jun-15,108000,2015,1638,Auto,28004,3/9/2024,37090,43926,75000,271,2362,1775,1,MPV
