LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=1267539&DL=2397\,PORSCHE MACAN S (95B),435888,42160,16-Jun-2023,9987,2023,2262,Auto,156562,15/09/2024,79096,133740,120702,3160,2894,2005,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1284385&DL=3318\,B.M.W. 740LI SR LED NAV HUD RCP,159800,28520,07-Dec-2017,80000,2017,2384,Auto,106547,15/09/2024,90911,135640,57000,1188,2998,1770,1,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1303424&DL=2296\,MERCEDES BENZ GLC250 4MATIC (R18 LED),143800,24840,24-May-2019,71000,2018,1202,Auto,56756,15/09/2024,44782,54695,39401,1584,1991,1735,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1269847&DL=3259\,B.M.W. 420I GRAN COUPE LED NAV,119988,19090,14-Aug-2019,86000,2019,1210,Auto,62477,15/09/2024,43149,52409,52502,1584,1998,1540,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1325045&DL=3043\,AUDI Q3 SPORTBACK 1.4 TFSI S TRONIC (17,137800,19700,28-Oct-2020,68000,2020,624,Auto,51006,15/09/2024,30408,34572,40990,2376,1395,1545,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1311414&DL=8008\,VOLKSWAGEN SCIROCCO 1.4L AT TSI 1372Q5,,,05-Jan-2011,,2010,868,Auto,,15/09/2024,24948,24948,18652,396,1390,1285,,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1332319&DL=4323\,TOYOTA PRIUS PLUS (AUTO),120800,17560,25-Nov-2020,56500,MPV,976,2019,43468,15/09/2024,,,41101,2376,1798,1500,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1336009&DL=4717\,HONDA CIVIC TYPE R 2.0 M,109800,27530,11-Sep-2008,,2008,1815,Auto,13314,15/09/2024,26076,26076,33377,1188,1998,1270,5,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1308865&DL=4442\,KIA OPTIMA 2.0 A/T ABS D/AB 2WD 4DR HID SR,86800,11500,04-Apr-2012,139000,2012,1573,Auto,62975,15/09/2024,20367,20367,83464,2772,1998,1529,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1306267&DL=3759\,HONDA AIRWAVE 1.5M A,45800,9990,17-Apr-2009,151000,2008,1023,Auto,12005,15/09/2024,17853,17853,26175,1584,1496,1160,6,Stationwagon,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1324629&DL=2793\,MERCEDES BENZ E200 AVG (R18 LED),110800,21390,30-Apr-2018,113788,2017,1202,Auto,58755,15/09/2024,52567,66621,42661,1188,1991,1605,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1284265&DL=3048\,HONDA FIT 1.3 A,28800,10150,19-Jul-2007,155600,2007,885,Auto,13681,15/09/2024,11464,12611,48200,792,1339,1000,3,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1330263&DL=3613\,B.M.W. 335I A,95900,16090,25-Feb-2011,153864,2010,3307,Auto,19622,15/09/2024,60121,60121,32914,1980,2979,1825,5,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1331817&DL=2097\,AUDI A4 1.4 TFSI S TRONIC,39888,16010,12-May-2016,146963,2016,624,Auto,22879,15/09/2024,32056,26879,49000,396,1395,1450,1,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1315097&DL=3922\,TOYOTA NOAH HYBRID 7-SEATER 1.8X CVT,105800,19030,28-Jun-2019,125000,MPV,974,2019,37832,15/09/2024,,,35906,1584,1797,1610,2,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1278330&DL=2246\,HONDA CIVIC 1.6 VTI CVT,55800,14550,14-Nov-2017,120000,2017,742,Auto,26293,15/09/2024,19584,19584,42900,1188,1597,1249,1,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1318185&DL=2792\,CITROEN GRAND C4 SPACETOURER 1.2 EXCLUSIVE,117777,14930,10-Sep-2021,49571,2021,508,Auto,53070,15/09/2024,24985,26979,47000,2376,1199,1397,1,MPV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1202270&DL=4147\,MERCEDES BENZ S350 AMG LINE DIESEL AUTO,268000,37030,17-Jul-2020,46000,Luxury,3268,2019,98261,15/09/2024,,,34989,1980,2925,2000,2,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=1219445&DL=1152\,MITSUBISHI ASX 2.0 CVT ABS D/AIRBAG 2WD,33800,13970,27-Jun-2016,84200,2016,1210,Auto,19823,15/09/2024,17938,17938,56000,396,1998,1355,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1299485&DL=8008\,KIA CERATO FORTE 1.6(M) EX ABS D/AB 2WD 4DR,51000,11290,23-Mar-2009,120000,2008,1107,Auto,11532,15/09/2024,13665,3219,25525,1584,1591,1227,5,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1334514&DL=3122\,HONDA HRV 1.5 LX CVT,76800,16570,30-Aug-2018,,2018,682,Auto,28011,15/09/2024,21802,22523,33798,1188,1496,1200,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1329760&DL=2875\,VOLVO XC40 T5 MOMENTUM,86000,19920,26-Apr-2018,102000,2018,1176,Auto,31657,15/09/2024,25816,28143,37010,1188,1969,1683,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1318700&DL=1067\,ROLLS ROYCE GHOST,488888,57470,18-Mar-2013,92000,2012,9605,Auto,85533,15/09/2024,351325,351325,106916,3168,6592,2360,4,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1324372&DL=2969\,MITSUBISHI ATTRAGE 1.2 CVT,45800,11990,26-Apr-2018,50000,2018,506,Auto,16972,15/09/2024,13881,5000,38000,1188,1193,940,1,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1275859&DL=3162\,HONDA JAZZ 1.5 VTIR CVT ABS D/AIRBAG 2WD,62800,12550,28-Jan-2015,102330,2014,684,Auto,,15/09/2024,16383,6383,,1825,1498,1046,1,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1309193&DL=4123\,B.M.W. 320I AT ABS D/AB 2WD 4DR GAS/D SR,66998,11730,28-Jun-2010,157000,2010,1812,Auto,19166,15/09/2024,31932,31932,33568,1980,1995,1390,6,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1290359&DL=3875\,MERCEDES BENZ C200 AVG (R17 LED),132800,21860,24-Jul-2019,68000,Luxury,684,2018,60677,15/09/2024,,,48000,1584,1497,1530,2,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1296279&DL=2448\,B.M.W. 218I GC LED HL,143800,17480,29-Sep-2021,47000,2021,684,Auto,75218,15/09/2024,35415,41581,64700,2562,1499,1375,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1316304&DL=3133\,TESLA MODEL 3 STANDARD RANGE,152800,18920,19-Nov-2021,22600,Luxury,3226,2021,75874,15/09/2024,,,70200,2772,,1750,1,,Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1297648&DL=3518\,HYUNDAI LM TUCSON 2.0L AUTO ABS D/AB 2WD 5DR,65800,12400,05-Jan-2010,145000,2009,1815,Auto,20942,15/09/2024,17934,17934,39463,1980,1998,1403,4,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1314736&DL=3647\,PEUGEOT 3008 ACTIVE PURETECH 1.2 EAT6,60800,13470,26-Apr-2018,102250,2017,508,Auto,29192,15/09/2024,23111,24356,37000,1188,1199,1270,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1334696&DL=4092\,B.M.W. 318I EDITION MSPT NAV FOG LIGHT,,,10-Sep-2018,,2018,684,Auto,,15/09/2024,37489,44485,34381,1188,1499,1425,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1324344&DL=2870\,TOYOTA RAIZE 1.0G CVT,121988,13780,13-May-2023,15200,2021,392,Auto,74404,15/09/2024,20241,5338,88000,3168,996,970,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1315149&DL=3359\,TOYOTA YARIS CROSS 1.5X BPACKAGE CVT,125800,13970,13-Jul-2023,6900,2022,680,Auto,81350,15/09/2024,16791,5000,97000,3168,1490,1110,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1334396&DL=3730\,MERCEDES BENZ E300 CABRIOLET AMG LINE AUTO,165000,29690,28-May-2018,80000,2017,1202,Auto,86082,15/09/2024,76864,110356,38801,1188,1991,1780,2,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1336194&DL=3863\,HONDA SHUTTLE HYBRID 1.5 AUTO,68800,14770,06-Dec-2018,42161,Stationwagon,682,2018,22486,15/09/2024,,,32000,1584,1496,1190,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1320777&DL=1344\,SUBARU FORESTER 2.0I-L CVT AWD SR,21800,13140,22-Oct-2015,,2015,1208,Auto,14691,15/09/2024,14726,14726,60001,396,1995,1566,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1321641&DL=4241\,VOLKSWAGEN GOLF A7 1.4 TSI AT 5G13GZ W/O HID,56800,11710,22-Jul-2014,112114,2014,686,Auto,44324,15/09/2024,19226,5000,45701,1584,1395,1249,2,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1335823&DL=3649\,HONDA VEZEL 1.5X A,21800,13200,28-Dec-2015,,2015,682,Auto,12664,15/09/2024,19740,9740,56989,396,1496,1190,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1301468&DL=2097\,B.M.W. X1 SDRIVE18I AT LED NAV,57388,18650,22-Dec-2016,102317,2016,684,Auto,28626,15/09/2024,30895,30253,46229,792,1499,1430,1,SUV,Petrol
