LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=1328684&DL=1000\,,159800,28500,09-Apr-2019,100000,2019,1792,Auto,57785,15/09/2024,48189,59465,35403,1584,2494,2055,3,MPV,
https://www.sgcarmart.com/used_cars/info.php?ID=1335333&DL=3100\,HONDA CIVIC TYPE-R 2.0 M,130800,28790,19-May-2009,,2009,1815,Manual,14998,15/09/2024,32121,32121,33018,1584,1998,1270,3,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1332816&DL=1164\,TOYOTA COROLLA ALTIS 1.6 AUTO,43500,10370,25-Nov-2008,170228,2008,1113,Auto,12445,15/09/2024,16777,16777,29670,1584,1598,1195,2,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1320541&DL=1149\,MAZDA MAZDA3 4DR 1.5 AT M-HYBRID ASTINA I2,121188,15040,29-Jul-2022,16561,Mid-Sized,682,2022,66314,15/09/2024,,,78899,2772,1496,1397,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1335312&DL=3417\,TOYOTA WISH 1.8 A,18500,9870,13-Nov-2006,189286,2006,1458,Auto,9675,15/09/2024,19298,21228,51630,396,1794,1300,2,MPV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1334552&DL=4749\,B.M.W. 523I 2.5 AT ABS D/AB 2WD 4DR GAS/D NAV,75800,12960,22-Jul-2010,166000,2010,2694,Auto,19635,15/09/2024,44429,44429,33568,1980,2497,1650,3,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1279315&DL=4332\,RENAULT SCENIC IV 1.5L DCI AT EU6,60800,11700,11-Apr-2019,79810,Hatchback,1048,2019,22431,15/09/2024,,,26659,1584,1461,1501,2,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=1330975&DL=4558\,HONDA CIVIC 1.6 VTI CVT,76800,14080,13-Jun-2019,94000,2019,742,Auto,29775,15/09/2024,20031,20044,33199,1584,1597,1237,1,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333539&DL=4413\,MERCEDES BENZ GLC300 SPORT 4MATIC M-HYBRID AUTO,173800,23870,06-Nov-2020,50888,SUV,1202,2019,64754,15/09/2024,,,39000,2376,1991,1805,2,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1333197&DL=4405\,VOLKSWAGEN SCIROCCO 1.4L AT TSI 1372Q5,80000,13050,06-Jan-2011,,2010,868,Auto,21573,15/09/2024,25296,25296,35200,2376,1390,1285,,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1335476&DL=4189\,INFINITI Q30 1.5D PREMIUM DCT,50250,13310,01-Aug-2017,,SUV,1048,2016,27036,15/09/2024,,,44002,792,1461,1485,2,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=1322745&DL=3541\,SUBARU FORESTER 2.0I-L CVT AWD SR,51800,13430,29-Jan-2018,118083,2017,1208,Auto,21347,15/09/2024,13108,13108,38064,1188,1995,1591,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333653&DL=4419\,KIA CARENS 1.7 DCT DIESEL 5DR FWD,50800,11540,26-Feb-2018,119000,MPV,1318,2018,29023,15/09/2024,,,42661,1188,1685,1525,1,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=1330029&DL=2473\,HONDA SHUTTLE HYBRID 1.5 AUTO,58800,15070,11-Jun-2018,99800,Stationwagon,682,2018,17638,15/09/2024,,,38501,1188,1496,1190,2,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1318131&DL=3648\,CITROEN C5 AIRCROSS 1.6L SHINE,86777,13460,28-Feb-2020,,2019,742,Auto,37985,15/09/2024,24804,26726,32889,1980,1598,1430,3,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1320544&DL=2793\,TOYOTA RAV4 2.0 PREMIUM SUV (AUTO) (2WD),135800,19720,24-Sep-2020,38190,2020,1198,Auto,50030,15/09/2024,29957,33940,40790,2196,1987,1530,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1304942&DL=1000\,,61800,14110,01-Jul-2009,157000,2009,5211,Auto,13727,15/09/2024,49246,49246,31335,1584,3696,1505,,Sports Car,
https://www.sgcarmart.com/used_cars/info.php?ID=1331548&DL=3164\,MAZDA MAZDA3 4DR 1.5 AT M-HYBRID CLASSIC,91800,14050,20-Oct-2020,84000,Mid-Sized,682,2019,31545,15/09/2024,,,36534,2376,1496,1385,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1300458&DL=2352\,KIA CERATO 1.6(A) LX,57333,12180,14-Dec-2018,28188,2018,238,Auto,11500,15/09/2024,11238,11238,8556,1584,1591,1287,2,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1328312&DL=3282\,AUDI RS3 SEDAN 2.5 TFSI QU S TRONIC (FW 255),209888,36890,29-Mar-2019,60000,2018,1776,Auto,78282,15/09/2024,62929,85273,41000,1584,2480,1590,1,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1312917&DL=2725\,MITSUBISHI EVO 9 RS,238800,23870,17-Mar-2006,20000,2005,1815,Auto,,15/09/2024,32573,35831,,365,1997,1320,,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1316880&DL=3048\,TOYOTA COROLLA ALTIS 1.6L CVT,15800,,25-Nov-2014,81000,2014,742,Auto,8297,15/09/2024,19144,14144,63880,62,1598,1205,1,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1238225&DL=2976\,AUDI A5 1.8 TFSI A/T MULTITRONIC,125800,28860,31-Aug-2017,53831,2015,976,Auto,63647,15/09/2024,60528,80951,51000,792,1798,1730,2,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333922&DL=4641\,PORSCHE MACAN II PDK E6,236888,37320,28-Nov-2019,78000,2019,1194,Auto,84890,15/09/2024,63018,85433,40009,1980,1984,1795,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1334624&DL=3892\,TOYOTA COROLLA ALTIS ELEGANCE AUTO,61800,14560,08-Mar-2018,70000,2017,742,Auto,28445,15/09/2024,21690,22366,40000,1188,1598,1230,2,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1330816&DL=3759\,M.G. HS 1.5T AT,111800,17000,22-Sep-2020,73000,2020,680,Auto,38750,15/09/2024,18931,18931,40790,2196,1490,1563,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1332025&DL=3137\,VOLKSWAGEN SCIROCCO 1.4L AT TSI 1372Q5,24800,13860,25-Jul-2011,,2011,868,Auto,8099,15/09/2024,25208,25208,22636,396,1390,1285,6,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1335715&DL=3989\,SKODA OCTAVIA STYLE 1.5 TSI MHEV(A) SA,129800,17870,25-Aug-2021,,Mid-Sized,684,2021,50981,15/09/2024,,,61001,2376,1498,1461,2,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1332190&DL=2008\,MAZDA MAZDA3 4-DOOR SEDAN 1.5L SP.6EAT,54888,10970,27-Nov-2014,123000,2014,682,Auto,,15/09/2024,14545,5000,,1825,1496,1339,3,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1330236&DL=3851\,MERCEDES BENZ CLA180 (R18 BI),68800,13750,01-Sep-2014,110000,2014,740,Auto,,15/09/2024,27318,20246,,1825,1595,1430,4,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1280264&DL=3393\,CITROEN C4 CACTUS 1.2 PURETECH 82 A/T,33800,12530,17-Mar-2017,100000,2016,508,Auto,15351,15/09/2024,17529,5000,49430,792,1199,975,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333122&DL=1335\,KIA CERATO 1.6(A) EX,63800,13090,21-Jan-2019,83000,2018,738,Auto,20711,15/09/2024,13737,13737,25501,1584,1591,1287,2,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1331327&DL=4412\,AUDI A3 SB 1.4 TFSI AMBIENTE (MY15),18000,14280,15-Jun-2015,96127,2015,624,Auto,12276,15/09/2024,26940,14716,66000,248,1395,1300,3,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1327111&DL=1000\,,112800,11270,22-Dec-2014,,2014,508,Auto,,15/09/2024,18108,5000,,365,1197,1229,4,Hatchback,
https://www.sgcarmart.com/used_cars/info.php?ID=1311631&DL=4731\,MERCEDES BENZ CLA180 SB URBAN (R18 LED),93988,17760,20-Dec-2018,87000,2018,740,Auto,36495,15/09/2024,31837,36572,25556,1584,1595,1430,1,Stationwagon,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1334150&DL=4635\,HONDA VEZEL 1.5X HYBRID A,58800,17720,20-Nov-2017,95000,SUV,682,2017,18539,15/09/2024,,,48109,1188,1496,1280,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1322937&DL=3801\,TOYOTA NOAH HYBRID 7-SEATER 1.8X CVT,146888,19850,12-Jul-2021,28271,MPV,974,2021,55529,15/09/2024,,,56100,2376,1797,1610,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1311511&DL=3745\,NISSAN SERENA 1.2L HIGHWAY STAR PREMIUM E-POWER,109888,18390,10-Jan-2020,109000,MPV,802,2019,39869,15/09/2024,,,41001,1980,1198,1758,3,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1335821&DL=1198\,NISSAN SYLPHY 1.6 CVT ABS D/AIRBAG 2WD 4DR,22500,11950,26-Nov-2015,129228,2015,742,Auto,16113,15/09/2024,16439,16439,59200,396,1598,1205,1,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1334085&DL=4405\,MERCEDES BENZ CLA180 (R18 BI),75000,16230,30-Apr-2014,,2014,814,Auto,36274,15/09/2024,27461,20446,39241,1584,1595,1430,5,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1261246&DL=2296\,MCLAREN 600LT,608800,98050,06-Apr-2019,36000,2019,3636,Auto,244844,15/09/2024,195635,324143,41000,1584,3799,1356,2,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1310384&DL=1277\,KIA FORTE K3 1.6A,43888,12620,20-Sep-2017,86451,2017,738,Auto,20589,15/09/2024,11803,11803,42900,1098,1591,1295,2,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1332499&DL=1103\,MERCEDES BENZ E200K,34800,10600,28-Dec-2007,,2007,1461,Auto,17018,15/09/2024,50937,56031,51850,1188,1796,1540,5,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1314786&DL=3839\,INFINITI Q50 2.0T A/T (R18) EU6 NAV,47800,13870,20-Oct-2016,92100,2016,1202,Auto,33621,15/09/2024,32532,37545,53001,792,1991,1644,3,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1285421&DL=3975\,MERCEDES BENZ EQC400 4MATIC,245800,27410,26-Jul-2022,49500,SUV,4336,2022,130163,15/09/2024,,,107800,2772,,2495,1,,Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1333441&DL=2291\,SKODA KODIAQ 1.4 TSI AMBITION PLUS,117800,19390,17-Jan-2020,70995,2019,624,Auto,41210,15/09/2024,26090,28526,37109,1980,1395,1572,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1323657&DL=4697\,MERCEDES BENZ A200 FL STYLE (R17 HLG),44900,16780,03-Oct-2016,132500,2016,740,Auto,24229,15/09/2024,24363,21109,56500,732,1595,1395,2,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1335292&DL=4717\,MERCEDES BENZ C 180 KOMPRESSOR,83800,12340,14-Jul-2011,,2011,1039,Auto,30748,15/09/2024,31019,31019,45272,2376,1597,1500,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1312773&DL=3597\,HONDA VEZEL 1.5X CVT,87000,14670,24-Feb-2020,54341,2019,682,Auto,27026,15/09/2024,23037,14252,30010,1980,1496,1190,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1314309&DL=1005\,B.M.W. 116D 5DR HATCHBACK DSC LED,28800,16090,07-Mar-2016,,Hatchback,1082,2016,11965,15/09/2024,,,43000,396,1496,1350,3,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=1254244&DL=3648\,MERCEDES BENZ EQC400 4MATIC,223777,24710,29-Jun-2022,41000,SUV,4336,2022,121674,15/09/2024,,,95889,2772,,2495,1,,Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1335563&DL=3024\,NISSAN NOTE 1.2 CVT,59800,11760,30-Jul-2019,36000,2019,508,Auto,16490,15/09/2024,13467,5000,26667,1584,1198,1048,1,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1242206&DL=3318\,,,,,,,,,,15/09/2024,,,,,,,,,
https://www.sgcarmart.com/used_cars/info.php?ID=1335837&DL=3382\,JAGUAR XE 2.0 I4D TSS,42998,15220,29-Mar-2016,170000,Luxury,1812,2016,28804,15/09/2024,,,46667,396,1999,1574,1,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=1332368&DL=3742\,B.M.W. X3 SDRIVE 20I MSPT ADAPTIVE HL LED FL,181000,23470,19-Mar-2021,62000,2021,1210,Auto,72311,15/09/2024,46074,56504,46002,2376,1998,1685,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1332747&DL=4108\,TOYOTA COROLLA ALTIS 1.6 CVT,33788,12030,08-Sep-2016,105000,2016,742,Auto,21544,15/09/2024,19990,19990,53334,396,1598,1215,2,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1335227&DL=3137\,B.M.W. 523I 2.5 AT ABS D/AB 2WD 4DR GAS/D,79800,12670,21-Jan-2011,,2010,2514,Auto,25633,15/09/2024,38395,38395,40714,2376,2497,1650,2,Luxury Sedan,Petrol
