LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=1239858&DL=4298\,HONDA JAZZ 1.3 CVT,47300,13450,12-Jan-2018,99800,2017,578,Auto,17226,15/09/2024,15224,5224,41617,1188,1318,1052,1,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1248619&DL=2239\,MERCEDES BENZ E43 AMG 4MATIC AUTO,193800,33120,21-Aug-2018,78000,2018,2382,Auto,95455,15/09/2024,86203,127166,32551,1188,2996,1840,3,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1297549&DL=3350\,VOLVO XC90 T5 MOMENTUM (A) AWD,123800,28990,25-Aug-2017,107220,2017,1176,Auto,61274,15/09/2024,58408,77135,51000,792,1969,2037,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1309352&DL=4120\,SUZUKI SWIFT 1.6 AT,56500,12220,27-Aug-2009,10000,2009,1104,Auto,12105,15/09/2024,15679,15679,26175,1584,1586,1100,5,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1274129&DL=1127\,PORSCHE 718 SPYDER MANUAL,438000,46390,22-Feb-2024,1800,2020,3942,Manual,68008,15/09/2024,83589,147485,85010,3564,3995,1450,1,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1186807&DL=1034\,TOYOTA LEXUS RX350 STD,38800,12760,05-Oct-2007,,2007,4650,Auto,,15/09/2024,45988,50587,50355,1098,3456,1915,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1276375&DL=3452&utm_content=SLeligible\,B.M.W. M3 4.0 A,117800,16490,23-Dec-2011,104000,2009,5132,Auto,43190,15/09/2024,49871,49871,60586,2772,3999,1905,5,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1300859&DL=1028\,HONDA VEZEL HYBRID 1.5X AUTO,53800,15920,06-Dec-2017,117000,SUV,682,2017,21748,15/09/2024,,,57414,1188,1496,1280,2,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1311692&DL=3742\,VOLKSWAGEN TIGUAN 2.0 ELEGANCE SR,,,17-May-2022,,2022,1194,Auto,,15/09/2024,30359,34503,98389,2772,1984,1678,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1218280&DL=3626\,RENAULT GRAND SCENIC IV 1.5 DCI AT EU6,65888,13720,13-Nov-2018,79000,MPV,1048,2018,22967,15/09/2024,,,25556,1584,1461,1540,3,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=1320816&DL=1028\,KIA FORTE K3 1.6A SX,28800,13260,29-Mar-2016,145000,2015,738,Auto,16231,15/09/2024,16981,16981,45000,396,1591,1295,2,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1334567&DL=3381\,B.M.W. 528I AT D/AB SR LED NAV HUD,144400,14430,30-Jan-2015,83000,2014,1210,Auto,,15/09/2024,51251,59252,,365,1997,1615,4,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1295057&DL=4323\,B.M.W. 216I GRAN TOURER HALOGEN LIGHT,110000,19550,02-Sep-2019,61000,2019,684,Auto,33976,15/09/2024,24215,25901,31917,1584,1499,1490,2,MPV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1292361&DL=4419\,VOLKSWAGEN NEW GOLF 1.4 AT 5K13G5,16800,18200,19-Aug-2010,140000,2010,930,Auto,2972,15/09/2024,22247,22247,16095,31,1390,1241,3,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333258&DL=1067\,PORSCHE 718 BOXSTER S 2.5 AUTO,188888,42940,18-Jul-2017,35500,2017,1796,Auto,95573,15/09/2024,90133,134240,53001,792,2497,1460,4,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1308908&DL=,,87800,14140,03-Dec-2010,152000,2010,3335,Auto,24853,15/09/2024,70255,70255,40014,2376,2996,1855,3,Luxury Sedan,
https://www.sgcarmart.com/used_cars/info.php?ID=1325459&DL=1238\,PORSCHE MACAN S DIESEL 3.0 A/T ABS D/AIRBAG 4WD,167800,16770,12-Dec-2014,101000,SUV,3336,2014,,15/09/2024,,,,365,2967,1955,4,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=1333030&DL=3597\,SUBARU FORESTER 2.0XT CVT AWD SR,52000,15710,12-Jun-2017,129174,2017,1210,Auto,25298,15/09/2024,17986,17986,53001,792,1998,1682,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333854&DL=3875\,AUDI TT COUPE 2.0 TFSI QUATTRO,169888,16980,27-Feb-2015,120000,2014,1194,Auto,,15/09/2024,51063,58914,,365,1984,1410,3,Sports Car,Petrol
